username,location,tweet_text,created_at,retweets,likes,language
bzberlin,Berlin,Attalah Younes 24 feuerte in der eine Rakete ab die durch ein Fenster in ein Kinderzimmer flog und explodierte Jetzt landete er dafr vorerst in der Zelle,2025-01-04 21:45:09+00:00,30,215,de
info_bitte,everyplace,ISefati mit sollte es erst wieder geben wenn sich die Verhltnisse in normalisieren wie vor ca 30 Jahren Zwar gabs auch damals gengend rgernisse am Silvester aber keine Gewalt arabischer trkischer und osteuropischer Chaoten wie im Jahre 2024,2025-01-04 21:21:56+00:00,0,0,de
LandesEchoPrag,"Praha, Česká republika",Im Gegensatz zu Deutschland gab es keine Toten aber auch in Tschechien verletzten sich Menschen durch Bller in der Silvesternacht zum Teil schwer Die Luftverschmutzung durch Pyrotechnik sprengte alle Rekorde,2025-01-04 19:19:03+00:00,0,0,de
sMoony248756,"Ansbach, Deutschland",jetteniz httest deinen Tweet nicht lschen mssen Ich fand ihn mehr als Zutreffend Mnner die sich ihre Hnde wegsprengen knnen definitiv sich nicht mehr an Frauen vergreifen Allen toxischen Mnnern wnsche ich das von Herzen,2025-01-04 17:29:32+00:00,0,0,de
Rembrandt1405,Rembrandt0514@s🅾cial.ano❌inon,Robby68142735 hier kann eine gegen unterschrieben werden,2025-01-04 17:00:31+00:00,7,13,de
SWPde_bot,"Ulm, Deutschland",bei Weienhorn Pferd geht nach durch und schleift 85Jhrigen mit,2025-01-04 16:50:21+00:00,0,1,de
gunnar_ror,Bayern ,dorisorchid Die sollten ein Gesetz zur pflicht vorschlagen Im ganze Osten wre ab nchstem Jahr,2025-01-04 15:32:23+00:00,0,0,de
wochenblattnews,Aulendorf,Waldseer Stadtsee wird zum Schauplatz der Nachlssigkeit,2025-01-04 15:27:42+00:00,0,0,de
Carsten_Fi,no_location,Schusswaffen und Messer verbieten aber einmal im Jahr unbegrenzt Sprengstoff im ALDI kaufen ist okay,2025-01-04 13:41:44+00:00,0,1,de
KH82865104,Deutschland ,Mir stellt sich die Frage warum diese in oder verkauft werden drfen Diese Lnder gehren auch zur Machtwort zum Thema Bllerverbot Scholz findet es irgendwie komisch via WEBDENews,2025-01-04 13:17:46+00:00,1,3,de
tonald_dru14202,Franken,07user Nicht die sind das Problem So lange das nicht eingesehen wird finden diese Bestien immer wieder irgendwas um es den um die Ohren zu schlagen Wie naif seit ihr eigentlich Ist es euch lieber wenn dann nur noch durch die Nacht fliegen Es ist,2025-01-04 12:13:37+00:00,0,0,de
nor_arnold,"Berlin, Deutschland",Wer schon mal z B in oder gefeiert hat wei wie frhlich und ausgelassen man auch ohne feiern kann Selbst in ist es nicht so schlimm wie in Deutschland Deshalb,2025-01-04 11:43:34+00:00,1,1,de
Leo_Deutscher,Deutschland 🇩🇪,MOIN Habts ein schnes 1 Wochenende 2025 nach diesem etwas unschnen Start ins neue Jahr nein danke,2025-01-04 10:11:40+00:00,0,0,de
Leo83084272,no_location,via YouTube Ich distzanziere mich explizit von dem Kanal der anscheinend der AFD zugewendet ist,2025-01-04 09:51:20+00:00,0,1,de
b_sappek,no_location,gegen ein wre nicht kontrollierbar Was fr ein Quatsch Wir haben ein gibt auch keinen igen Schutz aber es hilft 5 Tote zig Verletzte Seht hin schaut hin amp hrt zu amp wacht auf amp werden als eingesetzt,2025-01-04 09:09:35+00:00,1,2,de
nergelian,no_location,Umwelthilfe Wir beginnen zunchst einmal mit einem DUH Verbot oder sorgen erst einmal dafr dass es bei der DUH Personen gibt die bis zur Tapete denken knnen Es gibt auch ein Waffenverbot dennoch gibt es unzhlige Pistolen etc in D brigens hat D auch Grenzen,2025-01-04 08:46:34+00:00,0,3,de
HabakukProf,Ich seh euch alle,MdlBehrendt Was hat ein mit Auslndern zu tun,2025-01-04 08:40:49+00:00,0,0,de
sarita19sarita,no_location,Sky Kurtz will share how Pure Harvest is driving sustainability in agriculture at AIM Congress 2025,2025-01-04 08:25:12+00:00,0,1,en
nwnews,"Bielefeld, Deutschland",fr 45 Euro Das Geschft das einem Mann aus den Tod brachte luft ber soziale Medien die Ware kann tdlich sein Illegale sorgen bei Sicherheitsbehrden fr Alarmstimmung Und Das Problem wird grer NW,2025-01-04 08:18:57+00:00,1,2,de
de_laare_X2,no_location,Silvester Magdeburg Mannheim Weder die noch die sind das Problem Das Problem sind die eigentlich gar nicht in Deutschland sein drften Das was wir gerade erleben ist das Erbe der linksgrnen Pfui Nie wieder,2025-01-04 06:51:13+00:00,5,6,de
Marion144581840,no_location,Schon ber 450000 Stimmen fr ein,2025-01-03 22:20:57+00:00,0,1,de
NZiegeler,Rottenburg,smuep 5 Tote durch alleine an Silvester 2024 Jetzt reichts Bitte die der Gewerkschaft der Polizei unterzeichnen Hier gehts zur Petition,2025-01-03 22:07:52+00:00,1,3,de
Augustin67278,no_location,NoAFDBTW25 Doof ist dass die von dir naiv hofierten mit Migrationshintergrund die Problembren beim sind Indigene Jugendliche gibt es ja fast nicht mehr Das Problem sind nicht die die Messer oder Autos Das Problem sind die wie sie anonym genannt werden,2025-01-03 21:11:27+00:00,0,0,de
E_D_K_R,"Peenemünde, Deutschland",Und ZACK auf einmal gruppendynamischer Prozess von RaketenRecep und FeuerwerkFurkan Matthias Helferich MatthiasMdbbester Mann im Bundestag,2025-01-03 20:16:58+00:00,4,11,de
blaulichtzecke,no_location,Der hoffentlich letzte Nachklapp zum Thema Insbesondere im Interesse der Verletzten ist zu hoffen dass die Ermittlungen der in den eigenen Reihen zum Erfolg fhren,2025-01-03 19:46:32+00:00,4,17,de
KaiserfrontFan,Hamburg,berlinerzeitung GdPHauptstadt Ich glaube nicht das die das Problem sind Das Problem ist ein Anderes und ein gewisser hat auch bereits eine Lsung angeboten die von einigen Leuten aus der bernommen wurde,2025-01-03 19:06:12+00:00,1,5,de
Joffrey77855104,Next to them `ol barn,Letztes Jahr deutete sich schon an da das Imperium in Neuklln gewinnt Dieses Jahr hat das Imperium gewonnen,2025-01-03 16:20:45+00:00,1,12,de
citius_fortius1,DACHI,KarlLauterbach Solange die 60000 auslndischen rzte mit keine Wohnungen in Brand setzen nicht mit Autos in fahren oder Menschen umbringen Alles bestens KarlLauterbach,2025-01-03 15:57:04+00:00,2,84,de
bundesnews1,Berlin,Deutschland hat ein NaziProblem Jette Nietzard hat wohl ein Mnner Problem Die Migranten Asylbewerber oder Ukraine sei das Problem Ich konnte mich nicht halten vor lachen,2025-01-03 13:07:10+00:00,2,3,de
johannesl98,"Leipzig, Deutschland",Nicht die sind schuld dass sich in Berlin wieder einige Zuzgler nicht benehmen konnten Und wohlgemerkt hab ich wie jedes Jahr nicht einen Cent an verschwendet Aber ein Verbot weil sich bekannte Personengruppen nicht benehmen knnen,2025-01-03 11:57:42+00:00,0,0,de
ReinerAberJa,Weltoffen,Fokus auf illegale ist nicht zielfhrend Auch legale Bller sorgen jedes Jahr fr tausende panische Tiere schwere Verletzungen starke Luftverschmutzung und tonnenschwere Mllberge Wir brauchen ein generelles Link,2025-01-03 11:14:15+00:00,0,3,de
Aleonor_al,no_location,Fuball und Der Staat erlaubt Mnnern Aggressionen in der Gesellschaft auszuleben Doch die Quoten der huslichen Gewalt sinken nicht Versteht ihr Was wre wenn Frauen Demokratische Wahlen boykottieren wrden Hm Wie fndet ihr das Patrizier,2025-01-03 11:03:27+00:00,0,0,de
OMonlineDe,Oldenburger Münsterland,Detonation Mann aus wird durch lebensgefhrlich verletzt,2025-01-03 11:02:29+00:00,0,0,de
oloyolo77689,no_location,Wie wre es wenn sich Feuerwerkshersteller bei den Polizeieinsatzkosten beteiligen Selbiges wird von Fuballvereinen gefordert dann sollte es auch fr Pyrotechnikhersteller gelten,2025-01-03 10:53:40+00:00,0,0,de
