username,location,tweet_text,created_at,retweets,likes,language
Witcher__77,Germany,nikschrader Vuelleicht hast Du wrtlich den Knall nicht gehrt Daher fliegt die Linke am 2302 aus dem BT,2025-01-09 07:14:52+00:00,0,2,de
steffan_nethe,"Hamburg, Deutschland",DrKissler Sie sollten in erstmal alle 40 der ohne dt Pass abschieben bevor wir sie fr immer an der Backe haben,2025-01-09 06:55:16+00:00,1,27,de
infos_unter,"Rostock, Deutschland",Polizei in Berlin ermittelt nach Verffentlichung von Vornamenliste,2025-01-09 06:52:44+00:00,0,0,de
UweJelting,Ostfriesland,Es wird immer absurder Bllerfhrerschein,2025-01-09 06:48:56+00:00,0,1,de
ndaktuell,Berlin,Der Rohrbruch an der Seestrae lie an in groen Teilen Berlins den Wasserdruck absacken bei Verkehrsteilnehmenden sorgt er nun fr Puls,2025-01-09 06:46:00+00:00,2,1,de
Juergen_Fritz,"Hamburg, Deutschland",jreichelt 1453 registrierte die Polizei in 670 Verdchtige wurden gefasst Knapp 40 sind 60 haben auch einen dt Pass Von diesen 60 Deutschen haben laut 23 ebenfalls einen,2025-01-09 06:31:26+00:00,2,7,de
mykmill,Toronto and NFLD,This is how Germans celebrate Im not even kidding I remember all these fireworks in the street in front of my grandparents home as a kid But watch that video Look at these nutheads running Turn it up Insane Bedlam,2025-01-09 03:10:33+00:00,0,1,en
PaulSch72969276,no_location,Transparenz ist also bei der Polizei nicht erwnscht Tatsachen zu verheimlichen aber ja Ali Youssuf Hassan aus der Silvesternacht durchgestochen Berliner Polizei ermittelt intern via welt,2025-01-09 01:52:13+00:00,0,2,de
fanny1liy,黙れ ,Isarborn1 jannibal amp htten die auf belgische deutsche Frauen verhindert 40 arabische umzingeln attackieren auf der Piazza Duomo,2025-01-08 22:56:56+00:00,1,1,de
PolitikDMitte,no_location,Das der Linke nikschrader hier ein vollkommen falschen Schwerpunkt setzt treibt weitere Menschen direkt in die Arme populistischer Parteien Der Datenschutz der hier eventuell sogar gewahrt wurde ist den Menschen hier vollkommen egal,2025-01-08 22:08:01+00:00,0,0,de
ZeugeZ,no_location,welt polizeiberlin Hat die polizeiberlin alle amp von etwa schon Oder sind es soviele das eine beim kein Sinn macht Und sie deswegen lieber in ermitteln,2025-01-08 21:47:50+00:00,0,2,de
toottenhagn,Schweiz,Da wird gegen die Falschen ermittelt Ermittelt lieber gegen jene die Wahrheit unterdrcken wollen Wahrheit ist Demokratie Zensur und Propaganda Diktatur,2025-01-08 21:27:00+00:00,0,0,de
thomas_9778,no_location,SilvesterAusschreitungen Migrantische Mnner Mchten Menschen zu Opfern machen jetzt herunterladen,2025-01-08 21:17:14+00:00,0,0,de
BlnTales,"Berlin, Deutschland",Sollte die polizeiberlin nicht besser gegen diejenigen ermitteln die euch und andere Helfer angegriffen haben und aus einen Kriegsschauplatz gemacht haben Stattdessen ermittelt man nun ernsthaft wer die Namen durchgestochen hat niusde,2025-01-08 21:08:17+00:00,0,0,de
Walter_G__,Bayern / Bavaria,welt Es soll also vertuscht werden die in strafbar,2025-01-08 21:04:22+00:00,0,2,de
andreas43452653,no_location,NancyFaeser Gibt es Zahlen zu bei denen Personen ohne vorhandene ohne Pass die deutsche Staatsangehrigkeit bekommen haben Ach bei einigen neuen Deutschen ist es mglich dass diese nach der Verleihung kriminell werden,2025-01-08 20:51:03+00:00,0,0,de
info_bitte,everyplace,Die ist um den Datenschutz bemht warum die der 406 nicht verffentlicht werden Doch ALLE und SzeneKenner wissen da die meisten Festgenommenen an ein haben,2025-01-08 20:33:01+00:00,0,1,de
ErzaehlDochMal_,Deutschland,Mit wem hast du Silvester verbracht,2025-01-08 19:16:43+00:00,0,0,de
publizistikon,MünsterNRW 🇩🇪,Anspruch und Wirklichkeit in In kommt es zu bergriffen auf junge Frauen durch Nordafrikaner wie in war die Neurechte nicht als Bollwerk gegen die unkontrollierte Migration angetreten,2025-01-08 19:09:19+00:00,2,14,de
HeinzK_Berlin,no_location,Liste der der aus der in geleakt,2025-01-08 18:58:30+00:00,0,0,de
thomas_hocke,"Berlin, Deutschland",Nach der Der irgendwie komische Herr Kommentar,2025-01-08 18:18:03+00:00,0,0,de
doubtfireai,Bulgarien,BJJ Boxen amp Berlin Mein krasses Jahr,2025-01-08 16:59:20+00:00,0,0,de
lieberHeinrich,no_location,PurgeDay in,2025-01-08 16:32:36+00:00,0,0,en
Nadine14037332,no_location,Du suchst spannende Flirts oder den Partner frs Leben Dann bist Du bei Hits genau richtig Hier kannst du mit interessanten Leuten aus deiner Nhe Flirten Quatschen oder Daten Melde dich Schnen amp GUTEN GELINGEN in 2025 gtgt,2025-01-08 16:09:05+00:00,0,0,de
e_munich,"Bayern, Deutschland",nikitheblogger Es heisst im brigen im zugewanderten Buntland nicht mehr Sondern Asylvester Weitgehend friedlich So jetzt stimmts,2025-01-08 15:22:05+00:00,4,37,de
imsimantaa,"Jessore, Bangladesh.",About me,2025-01-08 14:50:57+00:00,1,0,en
mutiarakhrnns,jakarta,Their expertise in driving digital transformation makes them a crucial partner in shaping the future of smart cities and sustainable urban growth,2025-01-08 14:35:52+00:00,0,0,en
hatte_2x_besuch,irgendwo im nirgendwo,ES WAREN DEUTSCHE,2025-01-08 14:10:03+00:00,2,3,de
Azadi77,🇩🇪,Nun sind vorbeiAber den hier vergesse ich niemals Was fr ein Psychopath Er zndete ein Bller in der Vagina seiner EX anwie krank muss ein Mensch seinum berhaupt auf so eine Idee zu kommen,2025-01-08 14:04:25+00:00,0,7,de
HLlive,"Lübeck, Germany",Silvester Polizei bittet um Fotos und Videos Im Behaimring wurden in der Silvesternacht Einsatzkrfte und Passanten mit Pyrotechnik beschossen und mit Bllern beworfen wir berichteten Mittlerweile,2025-01-08 14:02:07+00:00,1,0,de
6bot7Unimatrix,no_location,ArnoNymuski spaceloop23 bahngeschaedigt bzberlin LWojdowska Will dich nicht damit nerven oder spammen Aber ich habe die von jetzt soweit fertig Hier einfach fr dein Archiv Gruss,2025-01-08 13:32:02+00:00,0,1,de
Wollihood,no_location,Viele reden nach in vom Rechtsstaat und fordern die volle Hrte dessen Wie das dann in der Realitt aussieht zeigt meine Anfrage zu den Verurteilungen nach den Krawallen der letzten beiden Jahre Kein einziger Tter in Haft und zig,2025-01-08 13:14:22+00:00,1,3,de
realteslahan,no_location,Silvester Warschau vs Berlin,2025-01-08 13:14:22+00:00,0,1,de
_Selbstdenker__,no_location,2 junge Frauen werden an von einer Horde bedrngt und versuchen zu flchten Hier live zu sehen Europa ist verloren Unsere Kinder wachsen in Angst auf,2025-01-08 13:03:26+00:00,0,0,de
niko_mandl,Wildnis,Ich beobachte seit Jahren eine Zunahme der Knallerei an Selbst Naturschutzgebiete Berggipfel und Almen werden gezielt von Feierwtigen augesucht Nicht nur in diesen speziell sensiblen Bereichen sondern berall werden Wildtiere in dieser harten Winterzeit gestrt,2025-01-08 12:27:46+00:00,1,5,de
Zecory6569,no_location,Der Staat hat keine Kontrolle darber wer sich hier aufhlt und Warum Kugelbomben und Polizeipannen nicht unser Hauptproblem sind Hier sind Leute unterwegs die uns verhhnen und verspotten,2025-01-08 11:54:37+00:00,0,0,de
PYRO_STAFF,no_location,Nico Bengalfeuer von Norma,2025-01-08 11:53:06+00:00,0,0,de
bundesnews1,Berlin,Deutsche Nationalhymne August Heinrich Hoffmann von Fallersleben,2025-01-08 11:38:07+00:00,9,12,de
MaxeBauman8205,Deutschland,schlgt vor zu dafr zentralegesteuerte zu ttigenUnd wieder diktiert unser ffentliches Leben Jahrzehntelang ging Silvester gutSeit paar Jahren nicht mehr,2025-01-08 11:35:40+00:00,0,0,de
GianlucaMonz,"Köln, Deutschland",In der Silvesternacht sollen junge Mnner mit arabischen Wurzeln in Mailand junge Frauen sexuell belstigt haben Ein Video zeigt wie die Frauen versuchen die Mnner abzuwehren und in Trnen ausbrechen,2025-01-08 11:32:26+00:00,0,0,de
LaLobaHH63,"Hamburg, Deutschland",Bei uns in der Umgebung wohnen viele verschiedene Kulturen Die jungen sind meist in Gruppen unterwegs Die n sind dabei meist in der Unterzahlt passen sich den Mnnern mit MiHiGru an bernehmen deren AnsichtenVerhalten Das ist nicht immer gut,2025-01-08 11:25:18+00:00,0,0,de
DYL_Ulenspiegel,"Braunschweig, Deutschland",WDRaktuell Klar Schuld sind immer die anderen nicht die Politiker die von den jammernden Wirten und Anwohnern gewhlt werden,2025-01-08 11:01:15+00:00,0,2,de
Scalpdate,no_location,Long SYSTEMUPDATE,2025-01-08 10:00:07+00:00,0,0,en
