username;location;tweet_text;created_at;retweets;likes;language;Foreigner
berlinerzeitung;Berlin;Adipositas tdliche Prionenkrankheiten Hitzestress Mangelernhrung Forscher wollen vielfltige gesundheitliche Bedrohungen bekmpfen Diese elf klinischen Studien knnten 2025 die Medizin prgen;09.01.25 18:02;0;4;de;NO
berlinerzeitung;Berlin;Eine Silvesterrakete explodierte auf dem Balkon von des des Berliner Musikers Adam Harzuf Danach brannte seine Wohnung aus Er ist nicht versichert;09.01.25 12:12;15;53;de;NO
berlinerzeitung;Berlin;In der Silvesternacht wurden erneut Polizisten mit angegriffen und verletzt Eine fr ein erreichte ber eine Million Unterschriften;06.01.25 09:34;2;25;de;NO
BertiEster;no_location;Lead the Way in Financial Innovation Showcase your contributions to fintech digital banking and sustainable finance at the prestigious Future Finance Awards 2025;07.01.25 15:43;0;0;en;NO
BesserwisserK;Deutschsprachig;8 Januar 2025 Tag des Treppensteigens Am zweiten Mittwoch im Januar 2025 also am 8 Januar findet jedes Jahr der Tag des Treppensteigens National Take the Stairs Day statt;08.01.25 21:00;0;2;de;NO
Blasenentz35810;no_location;Schnell Schmerzfrei bei Blasenentzndung Unser bewhrtes Mittel wirkt schnell amp effektiv Sag Nein zu Beschwerden;08.01.25 19:01;0;0;de;NO
Blasenentz60542;no_location;Blasenentzndung Nicht mit uns Hol dir schnelle Linderung und fhl dich endlich wieder wohl Jetzt mehr erfahren;08.01.25 19:31;0;0;de;NO
blaubeerblau2;liminal space;squirrelpics1 Wre es nicht wesentlich sinnvoller den Verkauf von zu verbieten;05.01.25 10:13;0;1;de;NO
BlauesKreuzBern;Bern;Gute Nachricht fr alle Rauchenden Bereits kurz nach dem verbessert sich die;08.01.25 19:25;0;0;de;NO
blaulichtzecke;no_location;Der hoffentlich letzte Nachklapp zum Thema Insbesondere im Interesse der Verletzten ist zu hoffen dass die Ermittlungen der in den eigenen Reihen zum Erfolg fhren;03.01.25 20:46;4;17;de;NO
BlnTales;Berlin;Sollte die polizeiberlin nicht besser gegen diejenigen ermitteln die euch und andere Helfer angegriffen haben und aus einen Kriegsschauplatz gemacht haben Stattdessen ermittelt man nun ernsthaft wer die Namen durchgestochen hat niusde;08.01.25 22:08;0;0;de;NO
bottleneck_bob;Hamburg;ZDFheute Fr gesprochenen Wrter und Dinge die Dich heute rechtsextrem geltend machen und zu verurteilung fhren knnten mit Adler;06.01.25 11:14;0;0;de;NO
Braswyn0xr;Prague;Starting 2025 surrounded by Madeiras stunning volcanic beauty a perfect way to ignite fresh goals Smith;05.01.25 06:07;0;0;en;YES
BruggemannHeike;no_location;Der Beitrag zeigt wie gefhrlich sind und dass man nur fr Private zugelassene kaufen sollte Aufklrung ist ebenfalls wichtig Besprecht das Thema mit euren Kindern im Verein in der Schule;05.01.25 15:51;0;1;de;NO
Bugsbanna1;no_location;BllerTod in Hamburg Kugelbombe ttet KarateMeister an Silvester;05.01.25 10:14;0;0;de;NO
bundesnews1;Berlin;Deutschland hat ein NaziProblem Jette Nietzard hat wohl ein Mnner Problem Die Migranten Asylbewerber oder Ukraine sei das Problem Ich konnte mich nicht halten vor lachen;03.01.25 14:07;2;3;de;NO
bundesnews1;Berlin;Deutsche Nationalhymne August Heinrich Hoffmann von Fallersleben;08.01.25 12:38;9;12;de;NO
BundesXpress;no_location;TomBayou Israel wurde als Versuchslabor bezeichnet weil es mit moderner Gesundheitsinfrastruktur und digitalisierten Patientendaten schnelle Erkenntnisse ber die Wirkung der Impfstoffe gewinnen konnte ein strategischer Vorteil kein Nachteil;09.01.25 00:11;1;3;de;NO
bvpraevention;Bonn;Das Projekt fr alle der Landeszentrale fr in RheinlandPfalz untersttzt amp Partnerinnen aus den dabei Menschen in schwieriger sozialer Lage mit prventiven Angeboten zu erreichen Mehr;09.01.25 07:24;1;2;de;NO
ByEvin31;Deutschland;Was haben die was wir nicht haben;06.01.25 17:09;0;0;de;NO
bzberlin;Berlin;Attalah Younes 24 feuerte in der eine Rakete ab die durch ein Fenster in ein Kinderzimmer flog und explodierte Jetzt landete er dafr vorerst in der Zelle;04.01.25 22:45;30;215;de;NO
bzberlin;Berlin;Jetzt doch Berliner SPD fordert;09.01.25 16:58;0;4;de;NO
